epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8619,0.91718,0.84527,1.01903,0.85698,0.84119,0.8496,0.52923,1.35773,1.35908,1.23011,0.000472262,0.000472262,0.000472262
2,84.0497,0.92557,0.64129,1.03225,0.57103,0.53146,0.52844,0.34418,1.09863,2.42562,1.13425,0.000939204,0.000939204,0.000939204
3,126.815,0.95201,0.63927,1.05392,0.8005,0.85534,0.86839,0.59262,1.02707,0.89338,1.09693,0.00139672,0.00139672,0.00139672
4,167.151,0.88518,0.58821,1.02635,0.8612,0.79259,0.86952,0.609,0.9833,0.73694,1.06203,0.00138656,0.00138656,0.00138656
5,203.672,0.8661,0.56277,1.02192,0.74264,0.70779,0.74304,0.527,0.8995,0.55003,1.0331,0.00137241,0.00137241,0.00137241
6,241.324,0.83871,0.53118,1.01408,0.80335,0.80791,0.85187,0.6565,0.76428,0.74689,1.00327,0.00135826,0.00135826,0.00135826
7,277.575,0.7961,0.51275,0.99739,0.9106,0.84721,0.93309,0.73384,0.7798,0.45833,0.99465,0.00134412,0.00134412,0.00134412
8,312.486,0.80037,0.48633,1.00127,0.96148,0.80292,0.88067,0.7135,0.68995,0.47368,0.97336,0.00132997,0.00132997,0.00132997
9,347.19,0.76338,0.46803,0.98499,0.91439,0.84565,0.88626,0.70788,0.7038,0.45946,0.99013,0.00131582,0.00131582,0.00131582
10,383.233,0.76032,0.45698,0.97736,0.92016,0.93793,0.95663,0.78337,0.668,0.40599,0.96232,0.00130168,0.00130168,0.00130168
11,420.219,0.74696,0.44621,0.97318,0.91081,0.93267,0.94286,0.74098,0.68031,0.42245,0.97526,0.00128753,0.00128753,0.00128753
12,458.123,0.73243,0.43632,0.96747,0.94899,0.92029,0.94735,0.78228,0.71578,0.42423,0.97974,0.00127338,0.00127338,0.00127338
13,494.397,0.74374,0.43333,0.97436,0.8978,0.89926,0.91143,0.69828,0.76911,0.43011,0.99063,0.00125923,0.00125923,0.00125923
14,530.601,0.71052,0.41319,0.96613,0.8892,0.8432,0.89556,0.74036,0.6653,0.41461,0.98409,0.00124509,0.00124509,0.00124509
15,565.223,0.7134,0.41075,0.96541,0.92785,0.89575,0.94536,0.79156,0.63421,0.35897,0.95797,0.00123094,0.00123094,0.00123094
16,600.073,0.69928,0.4059,0.962,0.88024,0.93802,0.92603,0.77318,0.61977,0.36428,0.95336,0.00121679,0.00121679,0.00121679
17,634.861,0.69854,0.41106,0.95648,0.94011,0.92926,0.93916,0.76689,0.67234,0.37152,0.9593,0.00120265,0.00120265,0.00120265
18,670.581,0.69556,0.39664,0.95439,0.91296,0.92051,0.94219,0.79827,0.63795,0.35933,0.96094,0.0011885,0.0011885,0.0011885
19,705.802,0.68617,0.39325,0.95117,0.90795,0.92982,0.93894,0.79547,0.60062,0.36745,0.93458,0.00117435,0.00117435,0.00117435
20,741.974,0.68262,0.38912,0.95192,0.90363,0.89671,0.92561,0.7758,0.62769,0.36657,0.961,0.00116021,0.00116021,0.00116021
21,777.777,0.6879,0.38802,0.95484,0.93629,0.94908,0.95353,0.82031,0.57323,0.32658,0.93728,0.00114606,0.00114606,0.00114606
22,813.975,0.65883,0.3723,0.94446,0.91891,0.94376,0.93175,0.79899,0.59173,0.33235,0.94709,0.00113191,0.00113191,0.00113191
23,849.813,0.65571,0.37168,0.94841,0.94048,0.93792,0.94618,0.79997,0.58401,0.34521,0.95297,0.00111776,0.00111776,0.00111776
24,885.84,0.66681,0.37972,0.95215,0.93248,0.9401,0.94963,0.80805,0.63789,0.32662,0.95213,0.00110362,0.00110362,0.00110362
25,921.611,0.64367,0.36015,0.94047,0.91584,0.93902,0.92556,0.78693,0.57954,0.32074,0.94008,0.00108947,0.00108947,0.00108947
26,957.22,0.64969,0.35846,0.9461,0.86544,0.94839,0.9409,0.80749,0.57636,0.32283,0.95039,0.00107532,0.00107532,0.00107532
27,993.517,0.65276,0.35778,0.94803,0.8991,0.92997,0.91154,0.78591,0.58575,0.31694,0.93946,0.00106118,0.00106118,0.00106118
28,1029.37,0.63862,0.35555,0.93244,0.91366,0.93651,0.92778,0.7985,0.55758,0.30933,0.93752,0.00104703,0.00104703,0.00104703
29,1065.38,0.6291,0.35315,0.93614,0.94199,0.93459,0.95304,0.82702,0.5875,0.31997,0.94289,0.00103288,0.00103288,0.00103288
30,1101.14,0.63573,0.35548,0.93444,0.89033,0.90027,0.94136,0.80394,0.62503,0.33403,0.94567,0.00101873,0.00101873,0.00101873
31,1138.03,0.63061,0.34881,0.93914,0.90223,0.89746,0.94589,0.83529,0.5761,0.31005,0.94696,0.00100459,0.00100459,0.00100459
32,1173.98,0.61266,0.33602,0.92593,0.94681,0.94054,0.94986,0.82153,0.56563,0.30291,0.94102,0.00099044,0.00099044,0.00099044
33,1211.12,0.61126,0.3388,0.92851,0.92316,0.93209,0.95476,0.83586,0.57221,0.3043,0.93838,0.000976293,0.000976293,0.000976293
34,1247.84,0.61612,0.33852,0.93334,0.95819,0.9463,0.95945,0.84642,0.54845,0.29395,0.93124,0.000962146,0.000962146,0.000962146
35,1285.67,0.6082,0.34036,0.93063,0.94895,0.94373,0.96469,0.84244,0.59747,0.29812,0.94893,0.000947999,0.000947999,0.000947999
36,1323.47,0.60708,0.33021,0.92942,0.94894,0.94862,0.96182,0.84963,0.55114,0.28586,0.93213,0.000933851,0.000933851,0.000933851
37,1359.89,0.60057,0.32417,0.92011,0.92559,0.94278,0.95538,0.84217,0.55136,0.28846,0.93219,0.000919704,0.000919704,0.000919704
38,1396.25,0.60275,0.32967,0.92522,0.93021,0.9617,0.97039,0.85773,0.5702,0.29776,0.94307,0.000905557,0.000905557,0.000905557
39,1432.26,0.59614,0.33053,0.92495,0.93071,0.95354,0.96373,0.84952,0.57713,0.28752,0.94207,0.00089141,0.00089141,0.00089141
40,1468.66,0.58741,0.32588,0.91952,0.95275,0.94494,0.96511,0.86247,0.54945,0.27515,0.93488,0.000877263,0.000877263,0.000877263
41,1504.69,0.587,0.31975,0.92126,0.92179,0.94862,0.95391,0.83944,0.54447,0.27929,0.93574,0.000863116,0.000863116,0.000863116
42,1540.41,0.58641,0.32078,0.92177,0.89992,0.92673,0.94671,0.83698,0.54161,0.29462,0.92908,0.000848969,0.000848969,0.000848969
43,1575.88,0.58768,0.32018,0.9221,0.93406,0.94924,0.93788,0.81387,0.54114,0.3148,0.92656,0.000834822,0.000834822,0.000834822
44,1611.62,0.5856,0.31754,0.92119,0.94487,0.93512,0.95228,0.84641,0.56113,0.29159,0.93306,0.000820675,0.000820675,0.000820675
45,1647.25,0.586,0.31495,0.91529,0.93506,0.94923,0.96446,0.85875,0.52281,0.27391,0.92281,0.000806528,0.000806528,0.000806528
46,1683.32,0.58164,0.31857,0.91542,0.95161,0.94205,0.95705,0.81456,0.567,0.28386,0.9351,0.00079238,0.00079238,0.00079238
47,1719.19,0.57513,0.31268,0.90738,0.97022,0.91247,0.95943,0.85343,0.53114,0.27228,0.91808,0.000778233,0.000778233,0.000778233
48,1754.97,0.57399,0.31043,0.91605,0.95382,0.95038,0.96817,0.86475,0.54073,0.271,0.9309,0.000764086,0.000764086,0.000764086
49,1790.95,0.57284,0.3101,0.90967,0.93135,0.9322,0.95193,0.84724,0.52813,0.27812,0.92225,0.000749939,0.000749939,0.000749939
50,1827.07,0.5706,0.30922,0.91189,0.93994,0.9462,0.95302,0.85128,0.5292,0.27445,0.91321,0.000735792,0.000735792,0.000735792
51,1862.5,0.56052,0.29597,0.90128,0.93335,0.94502,0.96603,0.86963,0.51451,0.26543,0.91519,0.000721645,0.000721645,0.000721645
52,1898.26,0.55805,0.29359,0.90445,0.94599,0.93562,0.95542,0.86538,0.55763,0.27012,0.92919,0.000707498,0.000707498,0.000707498
53,1933.88,0.55434,0.29283,0.90665,0.94084,0.95432,0.96076,0.86035,0.5199,0.26401,0.93368,0.000693351,0.000693351,0.000693351
54,1969.37,0.55917,0.29943,0.91073,0.94153,0.94815,0.94852,0.84904,0.51633,0.25731,0.92058,0.000679204,0.000679204,0.000679204
55,2004.9,0.55026,0.29742,0.90746,0.94319,0.94796,0.95598,0.85758,0.51489,0.26088,0.91712,0.000665057,0.000665057,0.000665057
56,2040.28,0.54701,0.29616,0.90224,0.94787,0.9443,0.95597,0.85839,0.51586,0.26167,0.92661,0.000650909,0.000650909,0.000650909
57,2076.28,0.54956,0.29335,0.90437,0.91377,0.95101,0.95549,0.85271,0.52334,0.26397,0.92376,0.000636762,0.000636762,0.000636762
58,2111.69,0.54461,0.29215,0.90264,0.9474,0.94967,0.95189,0.8618,0.51698,0.2534,0.93266,0.000622615,0.000622615,0.000622615
59,2147.34,0.53982,0.29004,0.90797,0.91711,0.94076,0.95123,0.84069,0.53126,0.2654,0.93174,0.000608468,0.000608468,0.000608468
60,2183.21,0.5314,0.28155,0.9014,0.9138,0.94672,0.94633,0.84475,0.53259,0.25581,0.93257,0.000594321,0.000594321,0.000594321
61,2218.83,0.5357,0.28122,0.89696,0.94335,0.89108,0.94613,0.85753,0.51442,0.26477,0.91265,0.000580174,0.000580174,0.000580174
62,2254.2,0.52944,0.27831,0.89861,0.91828,0.92794,0.95461,0.86259,0.53319,0.26174,0.93649,0.000566027,0.000566027,0.000566027
63,2289.62,0.52587,0.27875,0.90191,0.93608,0.94224,0.95825,0.8568,0.52929,0.25984,0.92982,0.00055188,0.00055188,0.00055188
64,2325.25,0.53124,0.28172,0.90111,0.89339,0.94178,0.94384,0.85436,0.51663,0.25491,0.92799,0.000537733,0.000537733,0.000537733
65,2360.69,0.52081,0.27379,0.89434,0.90276,0.95286,0.94758,0.85534,0.52501,0.25213,0.92234,0.000523586,0.000523586,0.000523586
66,2396.47,0.51917,0.27416,0.89279,0.94101,0.93509,0.96495,0.86151,0.52325,0.2548,0.92288,0.000509438,0.000509438,0.000509438
67,2431.87,0.51777,0.27118,0.89668,0.90038,0.96861,0.96556,0.86187,0.52401,0.25998,0.92733,0.000495291,0.000495291,0.000495291
68,2467.57,0.51822,0.27227,0.8972,0.94727,0.93826,0.96909,0.87019,0.50265,0.25116,0.93084,0.000481144,0.000481144,0.000481144
69,2502.86,0.51786,0.26865,0.89585,0.92904,0.94479,0.95403,0.87057,0.50164,0.24827,0.92813,0.000466997,0.000466997,0.000466997
70,2538.02,0.51019,0.26775,0.89304,0.8989,0.94741,0.95516,0.86605,0.50586,0.24461,0.93019,0.00045285,0.00045285,0.00045285
71,2572.47,0.51023,0.26765,0.8952,0.93138,0.94781,0.95033,0.84267,0.51683,0.24781,0.93426,0.000438703,0.000438703,0.000438703
72,2607.2,0.50708,0.26631,0.896,0.90293,0.94804,0.95599,0.86315,0.50192,0.24603,0.92404,0.000424556,0.000424556,0.000424556
73,2641.84,0.5089,0.26893,0.89038,0.92831,0.94261,0.95642,0.85035,0.52331,0.24948,0.93092,0.000410409,0.000410409,0.000410409
74,2676.65,0.50915,0.26838,0.88911,0.93587,0.94478,0.95424,0.86414,0.50239,0.24522,0.92034,0.000396262,0.000396262,0.000396262
75,2711.6,0.496,0.26131,0.88475,0.92985,0.95369,0.95569,0.86941,0.50346,0.24032,0.92012,0.000382115,0.000382115,0.000382115
76,2746.15,0.49989,0.25882,0.88717,0.89693,0.95738,0.94939,0.85619,0.50202,0.23973,0.92783,0.000367967,0.000367967,0.000367967
77,2781.07,0.49595,0.25884,0.88971,0.91185,0.94953,0.95642,0.86994,0.49622,0.23693,0.91899,0.00035382,0.00035382,0.00035382
78,2816.53,0.48794,0.25567,0.88167,0.9277,0.95387,0.95301,0.86502,0.49709,0.23771,0.9183,0.000339673,0.000339673,0.000339673
79,2852.24,0.48945,0.25204,0.88129,0.92132,0.94981,0.96192,0.88035,0.50301,0.23934,0.91633,0.000325526,0.000325526,0.000325526
80,2887.75,0.48751,0.25193,0.88303,0.91584,0.94803,0.95375,0.86557,0.4964,0.23826,0.91157,0.000311379,0.000311379,0.000311379
81,2922.99,0.4823,0.25173,0.88118,0.9349,0.92367,0.96118,0.86775,0.49747,0.24159,0.91727,0.000297232,0.000297232,0.000297232
82,2958.4,0.48443,0.2511,0.88153,0.93013,0.91531,0.95618,0.88024,0.49223,0.23644,0.91797,0.000283085,0.000283085,0.000283085
83,2994.25,0.47692,0.24966,0.88131,0.92203,0.95353,0.94692,0.85574,0.49767,0.23605,0.9239,0.000268938,0.000268938,0.000268938
84,3030.02,0.4768,0.24826,0.87787,0.90959,0.9439,0.95106,0.85993,0.50185,0.237,0.92198,0.000254791,0.000254791,0.000254791
85,3065.53,0.47065,0.24385,0.87784,0.92066,0.94967,0.95427,0.86838,0.49722,0.23219,0.92051,0.000240644,0.000240644,0.000240644
86,3100.91,0.47505,0.24678,0.87895,0.91495,0.95441,0.9528,0.86367,0.4939,0.23292,0.92267,0.000226497,0.000226497,0.000226497
87,3136.35,0.46643,0.24081,0.87859,0.93022,0.9368,0.94967,0.86448,0.50119,0.23554,0.92246,0.000212349,0.000212349,0.000212349
88,3172.21,0.46761,0.24463,0.87578,0.92043,0.94993,0.95696,0.87779,0.49631,0.22954,0.91628,0.000198202,0.000198202,0.000198202
89,3207.43,0.45798,0.23832,0.87354,0.91163,0.95304,0.95841,0.8807,0.49622,0.22906,0.91406,0.000184055,0.000184055,0.000184055
90,3242.91,0.45654,0.23558,0.87143,0.91987,0.95371,0.95316,0.87407,0.49043,0.22744,0.91028,0.000169908,0.000169908,0.000169908
91,3283.94,0.45332,0.22262,0.86571,0.90288,0.94383,0.94776,0.87026,0.4965,0.23378,0.91413,0.000155761,0.000155761,0.000155761
92,3319.29,0.43525,0.21443,0.85691,0.91129,0.94691,0.95338,0.87269,0.49817,0.23263,0.91237,0.000141614,0.000141614,0.000141614
93,3354.54,0.43362,0.2125,0.85676,0.90304,0.95578,0.94796,0.8706,0.49458,0.23287,0.91095,0.000127467,0.000127467,0.000127467
94,3389.85,0.43376,0.21299,0.85861,0.91497,0.95218,0.94923,0.86263,0.50261,0.23575,0.91303,0.00011332,0.00011332,0.00011332
95,3425.12,0.42685,0.20967,0.86105,0.92365,0.95321,0.94308,0.86063,0.49725,0.23389,0.913,9.91726e-05,9.91726e-05,9.91726e-05
96,3460.69,0.42358,0.21222,0.85418,0.92426,0.95351,0.95,0.86187,0.49263,0.2289,0.91233,8.50255e-05,8.50255e-05,8.50255e-05
